"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","4829746932.4","4471594000","0.71","3427297","","","/mutual-fund/holding-history/10901/2245414/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4509892857.6","4459094000","0.71","5739968","","","/mutual-fund/holding-history/10901/65394/"
"Coal India Ltd","COALINDIA","533278","Energy","4240165500","4356395000","0.69","10965000","","","/mutual-fund/holding-history/10901/275/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4256303375.5","4309152000","0.68","1835009","","","/mutual-fund/holding-history/10901/560/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","4258594225.6","4292509000","0.68","862972","","","/mutual-fund/holding-history/10901/80502/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","5303068097.6","4247416000","0.67","3937532","","","/mutual-fund/holding-history/10901/1253626/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","4299036845.4","4204262000","0.67","1674471","","","/mutual-fund/holding-history/10901/49/"
"Tejas Networks Ltd","TEJASNET","540595","Technology","4101446785.2","4138046000","0.66","5763697","","","/mutual-fund/holding-history/10901/54898/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","4342304860.4","4125479000","0.65","3622814","","","/mutual-fund/holding-history/10901/712/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","4153770480","4048794000","0.64","8233440","","","/mutual-fund/holding-history/10901/1504/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","4006627038.6","4047604000","0.64","3658686","-49517","-1.34","/mutual-fund/holding-history/10901/1359/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","4040846378.8","4017048000","0.64","12204308","","","/mutual-fund/holding-history/10901/1603230/"
"eMudhra Ltd","EMUDHRA","543533","Technology","3875370067.8","3943493000","0.63","5083786","","","/mutual-fund/holding-history/10901/897537/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","4020025968","3937817000","0.62","685076","634","0.09","/mutual-fund/holding-history/10901/858/"
"Ion Exchange (India) Ltd","IONEXCHANG","500214","Industrials","3926573688","3897570000","0.62","7161360","","","/mutual-fund/holding-history/10901/2050/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","3938654585","3875017000","0.62","3439873","","","/mutual-fund/holding-history/10901/764/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","3804967663.7","3865435000","0.61","2812453","","","/mutual-fund/holding-history/10901/198/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4141533921","3860557000","0.61","8863636","-2500000","-22","/mutual-fund/holding-history/10901/1289/"
"Cyient Ltd","CYIENT","532175","Industrials","3709699079.6","3839704000","0.61","2850983","","","/mutual-fund/holding-history/10901/301/"
"Genus Power Infrastructures Ltd","GENUSPOWER","530343","Industrials","3471084574.2","3791869000","0.6","9589956","","","/mutual-fund/holding-history/10901/449/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","4126730331","3750039000","0.6","1721623","","","/mutual-fund/holding-history/10901/253/"
"Timken India Ltd","TIMKEN","522113","Industrials","4027406996.2","3700208000","0.59","1184218","","","/mutual-fund/holding-history/10901/1399/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","4124353837.4","3674614000","0.58","785023","","","/mutual-fund/holding-history/10901/92286/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","3702913260.5","3538560000","0.56","28385690","","","/mutual-fund/holding-history/10901/2839786/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","3500659213.8","3520558000","0.56","10204516","183276","1.83","/mutual-fund/holding-history/10901/706/"
"MAS Financial Services Ltd Ordinary Shares","MASFIN","540749","Financial Services","3677091572","3515920000","0.56","11938609","2342169","24.41","/mutual-fund/holding-history/10901/62997/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","3443487500","3506781000","0.56","5125000","","","/mutual-fund/holding-history/10901/555690/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3468085074.5","3502324000","0.56","9924410","","","/mutual-fund/holding-history/10901/2020/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3204694246.6","3419991000","0.54","3780458","","","/mutual-fund/holding-history/10901/745/"
"Sundaram Finance Holdings Ltd","SUNDARMHLD","","Financial Services","4363436475.9","3345360000","0.53","8848989","","","/mutual-fund/holding-history/10901/87798/"
"Avalon Technologies Ltd","AVALON","543896","Technology","3173991549.3","3258300000","0.52","3789162","","","/mutual-fund/holding-history/10901/1416031/"
